testBody
{"firmware":"7.0","device":"AC-4E-A3-5C-8E-E4","lat":-7.1477523,"lon":109.9854145}
{"firmware":"4.99","device":"3B-6A-83-10-38-8B","lat":36.130754,"lon":107.497706}
{"firmware":"4.2","device":"35-21-0B-1A-3C-6E","lat":-7.4720926,"lon":108.6324073}
{"firmware":"4.56","device":"24-A1-0E-49-70-D0","lat":-6.1870969,"lon":106.8655689}
{"firmware":"5.0.9","device":"CD-24-D2-E2-F4-EA","lat":-7.382645,"lon":107.7458559}
{"firmware":"8.93","device":"6F-9F-88-F8-FC-5C","lat":40.1860023,"lon":116.2144241}
{"firmware":"5.56","device":"82-B3-34-DD-BE-8E","lat":65.8489911,"lon":23.2115122}
{"firmware":"5.1.7","device":"5E-C8-4D-16-D0-CB","lat":30.6589763,"lon":104.0712133}
{"firmware":"0.26","device":"BA-51-BF-85-D4-25","lat":-22.573256,"lon":-44.9693894}
{"firmware":"0.6.4","device":"C9-9E-72-4E-82-EC","lat":-6.427987,"lon":110.9561}
{"firmware":"0.1.7","device":"CA-E3-60-EC-C0-8A","lat":27.829795,"lon":112.944026}
{"firmware":"1.6","device":"81-A5-9E-83-93-48","lat":-6.1130137,"lon":106.1610343}
{"firmware":"2.7.1","device":"34-16-D8-47-24-4B","lat":31.118803,"lon":121.438903}
{"firmware":"0.87","device":"F7-8C-6B-69-B8-47","lat":41.7429283,"lon":-87.7123355}
{"firmware":"7.6","device":"90-27-23-85-F6-AE","lat":8.5311099,"lon":-80.3463754}
{"firmware":"0.7.1","device":"43-D4-8B-89-10-A4","lat":-4.1031257,"lon":-79.9584397}
{"firmware":"9.0.3","device":"0E-84-3B-10-89-52","lat":40.5544993,"lon":-7.9843201}
{"firmware":"9.3","device":"30-4B-D2-43-45-30","lat":-10.6872332,"lon":-37.4329352}
{"firmware":"0.95","device":"04-FA-A9-84-2A-4C","lat":52.2428641,"lon":18.0927297}
{"firmware":"0.12","device":"B5-29-BB-10-5E-99","lat":43.1780169,"lon":70.455208}
{"firmware":"2.4","device":"9A-48-CE-F6-DD-0C","lat":31.026665,"lon":119.910952}
{"firmware":"0.49","device":"AC-FE-E3-AA-D5-0F","lat":23.438818,"lon":112.018204}
{"firmware":"2.6","device":"E2-87-E5-4B-19-04","lat":41.6188726,"lon":-8.3575438}
{"firmware":"0.90","device":"3F-20-50-5E-C5-7C","lat":42.6580023,"lon":141.6664383}
{"firmware":"4.3","device":"3B-63-36-ED-B1-AA","lat":16.6053508,"lon":-15.348246}
{"firmware":"1.9.4","device":"5C-E7-4C-CB-8F-CA","lat":-28.5323842,"lon":26.9999584}
{"firmware":"4.82","device":"DC-21-FE-C2-0E-E9","lat":30.574474,"lon":103.923651}
{"firmware":"8.1.0","device":"98-39-DB-B1-55-BF","lat":37.3342647,"lon":-7.4879608}
{"firmware":"2.2","device":"D8-9C-F3-EA-E2-DA","lat":27.756647,"lon":118.035309}
{"firmware":"8.5","device":"A5-07-22-CF-97-70","lat":39.084828,"lon":117.185967}
{"firmware":"8.26","device":"17-57-BF-3C-E2-11","lat":41.669412,"lon":112.915135}
{"firmware":"0.7.8","device":"06-3C-67-A3-D7-05","lat":-12.7414031,"lon":-60.1304566}
{"firmware":"0.71","device":"87-53-22-A6-37-B8","lat":49.8756758,"lon":-106.5573172}
{"firmware":"0.8.5","device":"10-5F-B5-FA-87-19","lat":22.983121,"lon":112.9973583}
{"firmware":"1.73","device":"24-AD-35-86-14-F8","lat":22.198745,"lon":113.543873}
{"firmware":"8.9.9","device":"12-3D-D8-FF-ED-5F","lat":24.0716583,"lon":120.5624474}
{"firmware":"0.93","device":"24-87-A2-3C-58-DA","lat":1.2296124,"lon":-77.3439283}
{"firmware":"0.4.5","device":"12-AC-C2-72-4C-01","lat":-34.5612986,"lon":-58.5878676}
{"firmware":"0.65","device":"0C-0B-CE-F9-6C-21","lat":35.4889372,"lon":139.3909552}
{"firmware":"0.53","device":"1D-0E-80-99-DB-68","lat":51.4984999,"lon":-0.1401487}
{"firmware":"0.3.8","device":"C0-39-F9-1B-66-91","lat":32.8868129,"lon":36.0404049}
{"firmware":"6.5","device":"31-BC-BB-E2-15-F6","lat":41.267244,"lon":123.236944}
{"firmware":"5.4.3","device":"8F-7B-2F-1C-19-06","lat":35.872664,"lon":120.04619}
{"firmware":"7.5.4","device":"80-BF-9D-0F-04-6A","lat":38.6,"lon":-121.45}
{"firmware":"0.5.7","device":"FA-7E-6C-97-2F-97","lat":26.263406,"lon":117.638678}
{"firmware":"0.1.7","device":"1C-E0-5F-3D-90-09","lat":35.2853171,"lon":139.854819}
{"firmware":"0.8.3","device":"ED-62-FE-A9-16-6F","lat":37.943121,"lon":115.217658}
{"firmware":"4.9.8","device":"08-01-C5-7E-82-BF","lat":-34.6255137,"lon":-58.4322185}
{"firmware":"6.9","device":"EE-7B-5B-94-05-D6","lat":59.3019771,"lon":18.0885223}
{"firmware":"1.7.1","device":"04-20-51-15-A1-7D","lat":13.8086742,"lon":-89.1801225}
{"firmware":"0.9.0","device":"FB-4A-1A-1C-02-4C","lat":40.7929026,"lon":43.8464971}
{"firmware":"0.25","device":"29-DA-7C-F9-EB-22","lat":32.5777123,"lon":59.7977761}
{"firmware":"8.6.3","device":"2B-C5-B3-95-DF-F3","lat":49.978837,"lon":35.759315}
{"firmware":"5.17","device":"30-07-09-5C-FD-11","lat":7.5823695,"lon":125.8470159}
{"firmware":"0.9.8","device":"CF-5C-F1-93-2C-76","lat":45.4032761,"lon":-73.9503607}
{"firmware":"0.98","device":"0A-03-CD-53-5D-E5","lat":37.479652,"lon":140.9588844}
{"firmware":"1.34","device":"45-26-9F-D6-1E-96","lat":24.9936281,"lon":121.3009798}
{"firmware":"0.17","device":"A9-67-DE-D3-43-9A","lat":49.2914367,"lon":16.5787482}
{"firmware":"8.1.0","device":"F1-8F-B2-0D-1C-80","lat":12.6703542,"lon":123.8732551}
{"firmware":"7.99","device":"C4-64-C6-FA-37-25","lat":46.4064605,"lon":-0.201305}
{"firmware":"5.43","device":"44-15-65-BE-0B-AB","lat":45.5593978,"lon":-122.807445}
{"firmware":"0.2.5","device":"D7-08-63-7E-3F-B2","lat":6.76667,"lon":2.16667}
{"firmware":"8.5","device":"C2-56-28-1A-88-F3","lat":41.4745288,"lon":-6.3647312}
{"firmware":"5.8","device":"E2-8C-31-54-9B-12","lat":50.2577508,"lon":58.432675}
{"firmware":"8.36","device":"85-25-E8-C6-24-26","lat":8.7531549,"lon":4.1360234}
{"firmware":"1.9","device":"FF-59-6F-41-A9-9E","lat":-12.8955513,"lon":-38.6779363}
{"firmware":"2.42","device":"77-48-93-C9-C1-E1","lat":38.058734,"lon":58.177902}
{"firmware":"0.75","device":"78-39-E0-41-B1-C0","lat":12.4959322,"lon":11.5006548}
{"firmware":"6.6.0","device":"B6-2D-B4-AD-FB-57","lat":38.0818216,"lon":140.0392974}
{"firmware":"0.4.2","device":"DD-05-F5-82-F4-49","lat":14.5966665,"lon":121.1870788}
{"firmware":"3.01","device":"37-5E-B5-7E-CE-B6","lat":57.7051896,"lon":11.9006932}
{"firmware":"0.47","device":"C5-82-F2-BC-4C-F0","lat":51.7920503,"lon":56.3442985}
{"firmware":"0.2.3","device":"9C-77-86-A4-35-3A","lat":52.4709411,"lon":4.826445}
{"firmware":"0.81","device":"83-87-B7-6B-BE-54","lat":15.1248652,"lon":120.6428123}
{"firmware":"6.02","device":"78-77-A4-E0-54-61","lat":-16.111792,"lon":-69.5541}
{"firmware":"0.7.0","device":"18-0A-70-BE-92-FF","lat":23.817974,"lon":113.273132}
{"firmware":"7.0.6","device":"AF-74-92-64-C0-CD","lat":30.5859716,"lon":114.2689545}
{"firmware":"4.7.9","device":"3F-30-9C-97-00-65","lat":-7.068848,"lon":109.0364038}
{"firmware":"1.9","device":"21-5A-A0-60-3C-E6","lat":34.1301599,"lon":-117.2690813}
{"firmware":"0.54","device":"BC-E0-A1-E9-25-D7","lat":23.3854292,"lon":113.4895468}
{"firmware":"5.2.3","device":"C6-E4-52-38-48-C8","lat":33.9253024,"lon":-84.3857442}
{"firmware":"5.9","device":"CB-90-CB-2C-94-EB","lat":52.3369183,"lon":15.3336362}
{"firmware":"0.62","device":"C2-29-B2-F8-E8-AA","lat":57.1785332,"lon":41.9400627}
{"firmware":"3.9.1","device":"D0-11-D6-52-F7-06","lat":10.3057678,"lon":105.7468535}
{"firmware":"0.6.0","device":"FB-66-43-5D-E4-F8","lat":-23.2980974,"lon":-50.0726882}
{"firmware":"3.65","device":"19-0F-1E-99-D2-50","lat":-6.9002217,"lon":112.1653766}
{"firmware":"0.5.1","device":"09-E5-55-05-15-64","lat":9.3595215,"lon":-69.9877879}
{"firmware":"4.7","device":"C6-DF-BD-25-C8-4F","lat":42.5450345,"lon":21.9002712}
{"firmware":"0.9.5","device":"C3-AF-65-56-04-5A","lat":40.175103,"lon":123.4344271}
{"firmware":"8.1.0","device":"5D-46-9E-A3-D6-EA","lat":10.2535534,"lon":-67.9583246}
{"firmware":"9.2.1","device":"2C-03-5F-BA-22-E0","lat":42.6962642,"lon":2.8797149}
{"firmware":"0.29","device":"21-1F-CC-D2-97-D4","lat":43.2916776,"lon":-0.3696612}
{"firmware":"0.81","device":"D0-9B-D2-6B-DF-54","lat":37.9380466,"lon":-8.184571}
{"firmware":"2.5.1","device":"6B-2B-26-9D-9B-AB","lat":41.1900203,"lon":-8.1419858}
{"firmware":"0.4.7","device":"AE-4A-6A-CC-D4-56","lat":25.0605919,"lon":118.522341}
{"firmware":"9.5.3","device":"37-06-51-79-36-43","lat":57.0684709,"lon":24.3394019}
{"firmware":"0.4.8","device":"48-E2-6B-28-38-64","lat":54.24052,"lon":16.88967}
{"firmware":"2.74","device":"4F-70-C8-2C-EF-02","lat":-8.669071,"lon":115.213781}
{"firmware":"0.70","device":"BA-99-CF-72-30-85","lat":41.4610499,"lon":-8.2673764}
{"firmware":"0.32","device":"A9-43-90-3D-34-A6","lat":19.1284443,"lon":41.9246083}
{"firmware":"8.1.2","device":"27-AD-B7-E5-44-4B","lat":38.5537924,"lon":-9.0817894}
{"firmware":"9.94","device":"51-D3-39-97-68-DF","lat":-14.2795685,"lon":-170.6923312}
{"firmware":"3.8.1","device":"98-71-BE-E0-13-06","lat":15.983333,"lon":44.233333}
{"firmware":"9.9","device":"9F-D9-02-CD-1C-0F","lat":6.470326,"lon":12.6187506}
{"firmware":"0.61","device":"4C-E0-BC-3A-EF-08","lat":13.0553726,"lon":123.3014932}
{"firmware":"5.3","device":"E4-89-27-6D-9F-94","lat":36.139998,"lon":120.677011}
{"firmware":"0.8.4","device":"52-2D-EB-8E-7F-92","lat":-7.0071351,"lon":105.5532993}
{"firmware":"5.1","device":"8A-14-17-6E-8C-77","lat":-8.4044008,"lon":116.5491893}
{"firmware":"0.52","device":"76-54-E1-86-39-20","lat":9.316446,"lon":16.1610343}
{"firmware":"4.2","device":"4C-A8-2E-A7-05-6B","lat":36.7806554,"lon":137.0779342}
{"firmware":"0.20","device":"10-8D-38-2A-FE-1F","lat":55.7711903,"lon":37.6232011}
{"firmware":"0.16","device":"5F-72-B3-4E-D4-34","lat":-19.8730077,"lon":47.0291162}
{"firmware":"2.6","device":"B0-BB-EC-8A-A1-19","lat":-23.0743544,"lon":-44.9561012}
{"firmware":"8.89","device":"88-EC-20-45-DD-60","lat":33.5731104,"lon":-7.5898434}
{"firmware":"4.1.4","device":"5E-47-2B-C4-B2-DB","lat":48.0684339,"lon":7.3273853}
{"firmware":"7.8.4","device":"68-C9-06-F9-1B-C2","lat":42.1811386,"lon":69.8824972}
{"firmware":"8.7","device":"D5-D4-ED-3D-61-C0","lat":41.3643024,"lon":48.5260928}
{"firmware":"8.69","device":"59-63-83-69-9B-2E","lat":35.1341835,"lon":-89.8655563}
{"firmware":"5.77","device":"4F-7A-C2-EC-6A-FE","lat":41.7654876,"lon":26.2019433}
{"firmware":"0.18","device":"4D-80-EF-8B-D6-01","lat":43.9777294,"lon":21.2572719}
{"firmware":"0.86","device":"90-73-81-51-9E-5A","lat":19.5473723,"lon":-71.7296249}
{"firmware":"9.0","device":"1C-97-15-B5-95-75","lat":-10.8064536,"lon":-37.1901616}
{"firmware":"0.1.6","device":"57-7D-42-C4-DB-84","lat":-6.3517979,"lon":106.1078627}
{"firmware":"0.59","device":"4D-55-2A-68-53-EA","lat":11.160632,"lon":119.3978597}
{"firmware":"4.00","device":"49-38-01-5F-36-C3","lat":50.1659651,"lon":16.2776842}
{"firmware":"0.8.3","device":"0A-77-FA-83-16-46","lat":-13.5338933,"lon":-75.314433}
{"firmware":"0.3.1","device":"93-E2-91-55-D7-28","lat":26.4363523,"lon":106.5589556}
{"firmware":"2.9","device":"D9-FA-EE-F9-79-BB","lat":12.6114543,"lon":8.8803925}
{"firmware":"0.28","device":"AB-77-0D-D0-BA-EB","lat":-39.2820124,"lon":-72.2307798}
{"firmware":"3.89","device":"7C-A7-B8-58-8E-78","lat":40.9981633,"lon":47.8699826}
{"firmware":"3.2","device":"C7-4A-58-85-DE-7E","lat":52.3626877,"lon":4.6195236}
{"firmware":"1.55","device":"45-76-52-5C-F0-28","lat":35.0435187,"lon":25.0928704}
{"firmware":"6.1","device":"42-85-4F-02-4F-39","lat":-23.1087262,"lon":-50.3675124}
{"firmware":"4.45","device":"1F-1D-05-35-4C-16","lat":32.629398,"lon":110.798266}
{"firmware":"7.02","device":"05-F4-AD-EA-81-5F","lat":1.7533329,"lon":110.3164529}
{"firmware":"4.7","device":"F4-64-E8-B1-EA-BB","lat":28.491356,"lon":112.615076}
{"firmware":"0.21","device":"C3-B1-FD-61-DE-9D","lat":40.1198606,"lon":-7.5443513}
{"firmware":"0.8.8","device":"B0-C7-35-E4-15-6A","lat":-27.3782073,"lon":-55.9209171}
{"firmware":"4.70","device":"69-C3-6E-51-6D-FB","lat":30.319558,"lon":-95.4647953}
{"firmware":"5.66","device":"B8-F9-A9-10-1B-7C","lat":19.2949759,"lon":-99.110685}
{"firmware":"0.19","device":"FD-86-84-69-E9-65","lat":-31.4180746,"lon":-64.2653484}
{"firmware":"8.68","device":"9A-56-6E-2C-06-4E","lat":23.199183,"lon":113.256439}
{"firmware":"0.7.7","device":"3D-D5-88-01-5A-38","lat":50.5837638,"lon":34.4904643}
{"firmware":"4.9","device":"BF-FF-3D-77-43-F8","lat":10.4151473,"lon":-66.7962869}
{"firmware":"8.4.7","device":"86-D7-83-99-04-55","lat":32.0688848,"lon":-102.0946818}
{"firmware":"3.4","device":"6D-28-EA-C1-8F-D0","lat":-16.3062209,"lon":-49.4872858}
{"firmware":"1.67","device":"D0-93-10-37-30-2C","lat":7.0887275,"lon":125.6197949}
{"firmware":"0.8.5","device":"3B-A3-7C-63-82-90","lat":-23.3044524,"lon":-51.1695824}
{"firmware":"0.43","device":"98-43-9D-5A-11-80","lat":45.0058742,"lon":39.06949}
{"firmware":"0.23","device":"19-94-C9-7E-AA-F0","lat":48.051542,"lon":114.367189}
{"firmware":"1.08","device":"09-35-88-18-4A-A6","lat":49.8958515,"lon":18.8188681}
{"firmware":"0.2.9","device":"48-B1-BA-D1-B4-19","lat":62.34824,"lon":129.96471}
{"firmware":"4.32","device":"C3-60-C7-0E-D2-4F","lat":36.089488,"lon":97.863214}
{"firmware":"0.46","device":"FF-DE-F6-E3-C3-D3","lat":19.4146406,"lon":-99.1395519}
{"firmware":"3.7","device":"32-E9-BE-98-A2-48","lat":44.8209481,"lon":19.3850911}
{"firmware":"7.1.9","device":"CC-86-C9-3E-12-81","lat":34.366396,"lon":105.567066}
{"firmware":"2.6.8","device":"99-21-DD-DA-01-0C","lat":33.320546,"lon":100.547156}
{"firmware":"3.18","device":"FE-57-AF-AF-22-62","lat":25.721143,"lon":119.384334}
{"firmware":"7.53","device":"EF-3C-45-50-D0-0B","lat":-7.4727879,"lon":109.0274877}
{"firmware":"8.57","device":"D5-0E-68-B2-46-FC","lat":30.229314,"lon":120.643023}
{"firmware":"0.3.9","device":"94-4C-2D-61-A3-75","lat":55.6699522,"lon":12.5708777}
{"firmware":"0.5.2","device":"9F-AE-DB-C9-82-55","lat":42.8297548,"lon":73.6830521}
{"firmware":"5.00","device":"95-39-4A-AE-4B-06","lat":8.1818348,"lon":124.147545}
{"firmware":"2.3.9","device":"E3-AC-8E-91-09-F3","lat":-24.4770763,"lon":25.8906212}
{"firmware":"5.6.3","device":"09-2D-C4-C3-88-A5","lat":41.3389801,"lon":-8.1591621}
{"firmware":"0.6.4","device":"20-9D-37-F9-4A-76","lat":55.8166469,"lon":14.0959536}
{"firmware":"3.1.7","device":"3A-35-42-81-A7-C9","lat":14.5665378,"lon":121.1092186}
{"firmware":"9.8.2","device":"83-1B-5A-A6-85-36","lat":46.1005467,"lon":19.6650593}
{"firmware":"9.3.2","device":"10-B6-E6-D5-5D-8F","lat":-6.8937212,"lon":106.2042252}
{"firmware":"8.8","device":"BB-86-59-7E-4A-41","lat":14.7559236,"lon":121.0832459}
{"firmware":"8.1","device":"77-D4-21-D4-60-06","lat":-9.5502,"lon":119.1705}
{"firmware":"0.35","device":"8A-51-E7-F0-AC-2A","lat":-6.9326938,"lon":107.627451}
{"firmware":"0.67","device":"1E-CC-4E-5E-E1-37","lat":50.0109884,"lon":4.1638985}
{"firmware":"2.03","device":"B3-6F-22-99-3C-DC","lat":-23.8778461,"lon":-46.4175787}
{"firmware":"8.1.6","device":"06-2D-45-D3-E2-6E","lat":-6.8467723,"lon":106.7181959}
{"firmware":"0.21","device":"A2-8D-9D-94-CB-0D","lat":26.0576497,"lon":-80.3101684}
{"firmware":"0.67","device":"25-43-9D-ED-07-63","lat":46.62222,"lon":29.91333}
{"firmware":"0.98","device":"B5-78-A2-36-EA-E6","lat":14.5179897,"lon":-17.0096553}
{"firmware":"7.4.2","device":"E9-BC-EC-7F-86-67","lat":51.5190765,"lon":5.9202663}
{"firmware":"8.9.7","device":"98-F1-7F-19-6B-F5","lat":45.3969917,"lon":14.392612}
{"firmware":"0.86","device":"22-2D-81-9C-7E-32","lat":23.1421682,"lon":111.7910758}
{"firmware":"0.47","device":"BA-09-10-71-4C-B1","lat":47.613861,"lon":6.785553}
{"firmware":"9.8","device":"87-3C-87-E0-F7-8C","lat":12.9942656,"lon":123.6402206}
{"firmware":"1.54","device":"90-A3-AE-EC-36-7C","lat":21.604364,"lon":110.856592}
{"firmware":"0.6.0","device":"8C-06-D8-FF-5C-B9","lat":48.8834605,"lon":2.2335234}
{"firmware":"0.96","device":"2C-19-5C-B3-47-D6","lat":35.5488997,"lon":36.6444758}
{"firmware":"5.5","device":"80-C2-81-D8-34-9B","lat":55.9763451,"lon":37.6084088}
{"firmware":"0.28","device":"A6-B3-A4-05-6D-69","lat":-8.4513,"lon":115.6162}
{"firmware":"2.8","device":"12-A6-62-8B-C2-7B","lat":32.8676912,"lon":-80.017511}
{"firmware":"0.70","device":"7D-5A-FA-D0-87-20","lat":45.0222956,"lon":39.1162056}
{"firmware":"9.7.3","device":"6D-0F-61-93-D3-07","lat":19.6683311,"lon":105.4448838}
{"firmware":"0.6.9","device":"64-BF-3B-6D-A4-8B","lat":36.905485,"lon":140.4069331}
{"firmware":"5.2","device":"A7-9C-00-28-2A-7F","lat":44.346784,"lon":5.8855505}
{"firmware":"0.50","device":"F4-58-49-22-83-42","lat":12.352935,"lon":121.0737938}
{"firmware":"0.47","device":"F8-E4-DA-98-46-A1","lat":-24.2449065,"lon":-65.2605303}
{"firmware":"0.8.6","device":"4E-16-0E-6D-FB-09","lat":-6.6658733,"lon":106.8635643}
{"firmware":"6.2","device":"ED-FF-60-85-B4-35","lat":-37.9867271,"lon":-57.6075687}
{"firmware":"0.4.3","device":"16-23-97-70-C6-3F","lat":49.8189015,"lon":24.3031209}
{"firmware":"0.26","device":"08-B4-09-11-72-55","lat":39.639844,"lon":115.58934}
{"firmware":"2.4","device":"51-D3-24-EF-5D-C3","lat":-17.1406793,"lon":-71.8230371}
{"firmware":"4.4.3","device":"D4-77-D4-45-56-2F","lat":4.8413815,"lon":-72.9899505}
{"firmware":"6.5","device":"CB-AA-90-41-C2-06","lat":8.5123871,"lon":123.2843256}
{"firmware":"7.7","device":"1F-90-F8-81-DF-75","lat":42.5246357,"lon":87.5395855}
{"firmware":"9.4.9","device":"0F-EC-C6-26-C3-1E","lat":-13.02483,"lon":-74.448357}
{"firmware":"0.49","device":"E9-FF-BD-6D-3D-BF","lat":-6.2078779,"lon":106.8333249}
{"firmware":"0.83","device":"8F-05-33-33-43-EE","lat":50.8441986,"lon":3.9438609}
{"firmware":"0.9.1","device":"8F-83-30-80-F0-12","lat":38.6134405,"lon":-9.0019336}
{"firmware":"7.31","device":"C8-9D-2E-A6-5C-F2","lat":45.7967858,"lon":4.8427596}
{"firmware":"5.59","device":"E4-07-90-F4-73-B4","lat":9.3607067,"lon":-83.7145811}
{"firmware":"9.3","device":"3A-0E-F4-04-CA-C4","lat":44.202131,"lon":38.8907294}
{"firmware":"9.21","device":"8C-EF-8E-79-D3-75","lat":15.0431944,"lon":108.5700636}
{"firmware":"7.7.3","device":"4D-D4-C7-02-EA-87","lat":-23.5390859,"lon":-46.3116591}
{"firmware":"3.1","device":"6A-2F-5A-ED-0C-DC","lat":7.116798,"lon":125.9279251}
{"firmware":"0.4.5","device":"36-9B-DC-0B-1C-88","lat":36.4406171,"lon":119.2131226}
{"firmware":"6.8","device":"7F-1E-35-BF-40-79","lat":44.8671415,"lon":4.9157564}
{"firmware":"0.7.5","device":"0A-B3-C7-9F-BD-D2","lat":41.2169163,"lon":-8.6759571}
{"firmware":"0.1.4","device":"B6-BD-29-56-C2-7D","lat":-7.2966,"lon":108.1264}
{"firmware":"6.45","device":"98-83-F0-50-8B-CF","lat":3.809294,"lon":43.2461055}
{"firmware":"6.98","device":"68-30-99-C2-5B-4B","lat":-18.1661375,"lon":-47.944531}
{"firmware":"7.0.2","device":"5B-FF-C1-27-13-EA","lat":32.5571916,"lon":-84.9047641}
{"firmware":"0.3.8","device":"51-35-0A-B8-59-E5","lat":31.415251,"lon":121.346638}
{"firmware":"0.6.8","device":"F2-BE-9E-E6-22-95","lat":-6.6760058,"lon":111.0102737}
{"firmware":"2.2","device":"B7-A4-92-06-57-0E","lat":-3.2342185,"lon":116.234153}
{"firmware":"7.73","device":"D4-F2-BE-63-10-FB","lat":44.6677818,"lon":19.6519918}
{"firmware":"0.7.6","device":"6C-36-E0-91-AC-33","lat":50.8424855,"lon":33.1399988}
{"firmware":"8.09","device":"18-E8-9E-70-F8-C9","lat":52.0404442,"lon":8.4770585}
{"firmware":"6.4.8","device":"53-0E-8A-A1-25-37","lat":47.5155739,"lon":40.8140313}
{"firmware":"0.37","device":"99-6E-B7-90-E2-99","lat":40.1507542,"lon":69.4903717}
{"firmware":"0.57","device":"C7-FA-F9-32-2A-5D","lat":34.329605,"lon":108.708991}
{"firmware":"7.6","device":"1F-6F-66-C5-9A-33","lat":10.4179921,"lon":122.8801918}
{"firmware":"2.1.1","device":"8C-9B-B3-3F-0F-0F","lat":52.28339,"lon":-106.66792}
{"firmware":"5.06","device":"D2-DF-98-41-30-42","lat":49.7514502,"lon":6.4641645}
{"firmware":"0.33","device":"40-85-3E-F4-C5-C3","lat":10.8379491,"lon":124.0251538}
{"firmware":"0.6.2","device":"DE-18-1A-14-A7-B9","lat":-7.0743223,"lon":-40.37156}
{"firmware":"2.9.8","device":"C5-02-6A-C2-EA-07","lat":-21.4405898,"lon":-43.5222313}
{"firmware":"0.6.7","device":"0F-08-0F-6A-08-37","lat":55.662882,"lon":37.5826719}
{"firmware":"4.4","device":"83-F6-CE-FD-B9-7B","lat":24.3482735,"lon":116.6988851}
{"firmware":"0.46","device":"C9-63-E4-6C-2F-C4","lat":-8.669071,"lon":115.213781}
{"firmware":"0.19","device":"C6-74-12-48-5D-25","lat":-7.6209569,"lon":-78.0452217}
{"firmware":"7.54","device":"5F-25-E4-6C-78-C6","lat":-6.9108565,"lon":107.1768464}
{"firmware":"0.29","device":"19-CE-4F-EB-E1-03","lat":39.128291,"lon":117.251586}
{"firmware":"0.66","device":"BB-ED-38-4D-DE-AD","lat":-6.4594857,"lon":105.9141793}
{"firmware":"7.2","device":"BC-06-C8-C5-71-E0","lat":38.8220976,"lon":-9.4623504}
{"firmware":"0.7.0","device":"27-06-D5-FD-8B-34","lat":7.0540231,"lon":125.6018728}
{"firmware":"0.1.4","device":"6B-E7-0E-BF-52-30","lat":5.3523231,"lon":100.3573891}
{"firmware":"0.1.7","device":"1E-87-0F-2D-C1-C8","lat":-14.3816618,"lon":34.3254842}
{"firmware":"3.3.8","device":"AA-D3-60-9B-2D-59","lat":-19.4021302,"lon":46.9537969}
{"firmware":"1.2","device":"42-55-1F-94-A7-06","lat":27.9972231,"lon":67.9616412}
{"firmware":"0.61","device":"64-2E-D3-D5-5D-39","lat":-7.6044869,"lon":109.5068254}
{"firmware":"0.7.1","device":"0E-12-30-EA-BB-FE","lat":56.7813252,"lon":16.0279817}
{"firmware":"5.55","device":"6C-06-58-F5-19-D3","lat":6.856106,"lon":79.917758}
{"firmware":"0.4.0","device":"46-D8-39-7B-42-78","lat":38.1245942,"lon":139.7374194}
{"firmware":"3.7.2","device":"CB-91-81-B7-40-02","lat":26.7500171,"lon":33.9359756}
{"firmware":"4.2","device":"7F-13-D6-8B-69-58","lat":45.4146244,"lon":18.6959162}
{"firmware":"4.2","device":"4F-E4-4E-BD-EC-9C","lat":-6.7498213,"lon":110.7245903}
{"firmware":"8.47","device":"69-BC-07-E5-89-41","lat":8.1707969,"lon":-63.5658573}
{"firmware":"0.1.7","device":"20-D9-71-69-65-AB","lat":12.13372,"lon":6.825526}
{"firmware":"6.1","device":"CF-6A-9B-83-A4-2C","lat":52.216745,"lon":0.1405602}
{"firmware":"5.3","device":"AA-05-3E-D3-81-2F","lat":-8.4478,"lon":123.5082}
{"firmware":"9.1","device":"C6-E6-63-F6-52-CD","lat":6.552741,"lon":-72.5003179}
{"firmware":"0.18","device":"07-0E-D2-F7-AD-C8","lat":53.806717,"lon":60.657365}
{"firmware":"9.94","device":"93-99-20-AB-C3-76","lat":-7.003771,"lon":108.2257659}
{"firmware":"0.5.0","device":"9D-BB-A5-03-4D-31","lat":-25.4302418,"lon":-55.2590707}
{"firmware":"1.4.5","device":"77-20-38-F5-C9-02","lat":31.026665,"lon":119.910952}
{"firmware":"8.9.9","device":"59-23-F7-A5-85-C6","lat":-31.5469052,"lon":29.0213682}
{"firmware":"0.89","device":"0B-98-43-C1-D0-9F","lat":25.783198,"lon":109.607675}
{"firmware":"0.40","device":"F9-1B-97-73-C8-43","lat":41.7977426,"lon":-8.4531054}
{"firmware":"1.5.9","device":"AF-11-E9-8B-9F-88","lat":-7.0837462,"lon":107.6540877}
{"firmware":"0.5.3","device":"CB-F7-FF-A9-B7-86","lat":34.0380929,"lon":108.5456244}
{"firmware":"0.25","device":"49-0E-CB-B1-03-91","lat":56.91683,"lon":-117.61945}
{"firmware":"7.5.8","device":"6C-CD-83-66-01-5C","lat":8.18806,"lon":124.60972}
{"firmware":"0.36","device":"AB-6F-87-CF-FA-BE","lat":28.5099229,"lon":81.1085744}
{"firmware":"9.15","device":"17-39-D5-AB-A3-54","lat":50.2650642,"lon":18.9033756}
{"firmware":"8.4.4","device":"E6-FF-FB-A1-EA-7A","lat":22.041674,"lon":111.756345}
{"firmware":"1.03","device":"74-82-E2-04-7A-75","lat":24.9848125,"lon":118.8310811}
{"firmware":"6.98","device":"4D-A1-92-FB-19-09","lat":5.576269,"lon":-74.889557}
{"firmware":"9.2.3","device":"69-07-45-8A-44-EB","lat":47.440449,"lon":19.1700809}
{"firmware":"2.1","device":"07-33-54-9D-88-6F","lat":41.9250632,"lon":25.5508839}
